fold,AUC,PR-AUC,F1@best,thr
1,0.6277222351898754,0.715923299748914,0.7653847973132775,0.30207306
2,0.6243983461623118,0.7129649071519801,0.7653103035269644,0.305961
3,0.6254282593156724,0.7150241046624488,0.7654840081258563,0.24238227
4,0.6247765923985513,0.7136216857406857,0.7653786513227805,0.22184671
5,0.6230732841542791,0.7123282610024185,0.7652725526924712,0.21021067
