feature,lr_coef
TPSA_mean,4.419911929118192
TPSA_max,4.332782064134025
TPSA_sum,2.4581137374363218
HBD_sum,1.4822634289563865
HBA_sum,0.8741427964327945
HBA_mean,0.7273565920033714
logP_mean,0.4791356625156749
is_multi_drug,0.2535813393737392
n_diab_records,0.16441624643076347
HBA_max,0.08230069563744419
logP_min,0.015186040057825463
logP_max,-0.03359499224163006
n_diab_unique,-0.08477780117896877
mol_weight_max,-1.893294143777052
HBD_mean,-1.9251018563214017
HBD_max,-2.676946313358734
mol_weight_mean,-2.900543086978709
mol_weight_sum,-4.879515089323755
